bairro,ano,óbitos-gravidez,codigo
FREGUESIA-JPA,2015,0,120
TAQUARA,2015,0,122
TANQUE,2015,0,123
PRACA SECA,2015,0,124
VILA VALQUEIRE,2015,0,125
ITANHANGA,2015,0,127
BARRA DA TIJUCA,2015,0,128
VARGEM PEQUENA,2015,0,130
RECREIO BANDEIRANTES,2015,0,132
VILA MILITAR,2015,0,135
MAGALHAES BASTOS,2015,0,138
REALENGO,2015,0,139
PADRE MIGUEL,2015,0,140
BANGU,2015,2,141
SENADOR CAMARA,2015,0,142
SANTISSIMO,2015,1,143
CAMPO GRANDE,2015,2,144
SENADOR VASCONCELOS,2015,0,145
INHOAIBA,2015,0,146
COSMOS,2015,1,147
PACIENCIA,2015,2,148
SANTA CRUZ,2015,2,149
SEPETIBA,2015,0,150
GUARATIBA,2015,0,151
BARRA DE GUARATIBA,2015,0,152
PEDRA DE GUARATIBA,2015,0,153
ROCINHA,2015,0,154
JACAREZINHO,2015,0,155
COMPLEXO DO ALEMAO,2015,1,156
COMPLEXO DA MARE,2015,2,157
PARQUE COLUMBIA,2015,0,158
VASCO DA GAMA,2015,0,159
ILHA DO GOVERNADOR - IGNORADO,2015,0,998
IGNORADO BAIRRO-MRJ,2015,0,999
,2015,1,
SAUDE,2016,0,001
GAMBOA,2016,0,002
CAJU,2016,1,004
CENTRO,2016,0,005
CATUMBI,2016,0,006
RIO COMPRIDO,2016,0,007
CIDADE NOVA,2016,1,008
ESTACIO,2016,0,009
SAO CRISTOVAO,2016,0,010
MANGUEIRA,2016,0,011
BENFICA,2016,0,012
SANTA TERESA,2016,0,014
FLAMENGO,2016,0,015
BOTAFOGO,2016,0,020
COPACABANA,2016,0,024
IPANEMA,2016,0,025
GAVEA,2016,0,029
VIDIGAL,2016,0,030
PRACA DA BANDEIRA,2016,0,032
TIJUCA,2016,0,033
MARACANA,2016,0,035
VILA ISABEL,2016,0,036
ANDARAI,2016,1,037
GRAJAU,2016,0,038
MANGUINHOS,2016,0,039
BONSUCESSO,2016,0,040
RAMOS,2016,0,041
OLARIA,2016,0,042
PENHA,2016,1,043
PENHA CIRCULAR,2016,0,044
BRAS DE PINA,2016,0,045
CORDOVIL,2016,0,046
PARADA DE LUCAS,2016,0,047
VIGARIO GERAL,2016,0,048
JARDIM AMERICA,2016,0,049
HIGIENOPOLIS,2016,0,050
JACARE,2016,1,051
DEL CASTILHO,2016,0,053
INHAUMA,2016,0,054
ENGENHO DA RAINHA,2016,0,055
TOMAS COELHO,2016,0,056
ROCHA,2016,0,058
ENGENHO NOVO,2016,0,061
LINS DE VASCONCELOS,2016,0,062
TODOS OS SANTOS,2016,0,064
CACHAMBI,2016,0,065
ENGENHO DE DENTRO,2016,0,066
PIEDADE,2016,0,069
PILARES,2016,0,071
VILA KOSMOS,2016,0,072
VICENTE DE CARVALHO,2016,1,073
VILA DA PENHA,2016,0,074
VISTA ALEGRE,2016,0,075
IRAJA,2016,0,076
COLEGIO,2016,0,077
QUINTINO BOCAIUVA,2016,0,079
CAVALCANTE,2016,0,080
ENGENHEIRO LEAL,2016,0,081
MADUREIRA,2016,0,083
ROCHA MIRANDA,2016,0,086
OSWALDO CRUZ,2016,0,088
BENTO RIBEIRO,2016,0,089
MARECHAL HERMES,2016,0,090
CACUIA,2016,0,093
PITANGUEIRAS,2016,0,094
FREGUESIA-ILHA,2016,0,098
JARDIM GUANABARA,2016,0,099
JARDIM CARIOCA,2016,0,100
TAUA,2016,0,101
MONERO,2016,0,102
PORTUGUESA,2016,0,103
GALEAO,2016,0,104
GUADALUPE,2016,0,106
ANCHIETA,2016,0,107
RICARDO ALBUQUERQUE,2016,0,109
COELHO NETO,2016,1,110
ACARI,2016,0,111
BARROS FILHO,2016,0,112
COSTA BARROS,2016,0,113
