bairro;codbairro;codbnum;regiao_adm;codra;ra;rp;cod_rp;ap;area_plane;0 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 anos ou mais
Vargem Grande;131;131;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;4.2;Área de Planejamento 4;4;1191;1366;1328;1398;1586;1498;3413;3534;2752;1950;1281
Recreio dos Bandeirantes;132;132;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;4.2;Área de Planejamento 4;4;6450;7459;7107;7533;9418;9821;24274;25750;18326;14142;10984
Grumari;133;133;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;4.2;Área de Planejamento 4;4;15;9;11;15;17;13;39;20;24;11;3
Deodoro;134;134;REALENGO;33;XXXIII Realengo;Bangu;5.1;Área de Planejamento 5;5;742;752;675;652;728;779;1748;1471;1053;1003;785
Vila Militar;135;135;REALENGO;33;XXXIII Realengo;Bangu;5.1;Área de Planejamento 5;5;798;791;775;802;862;996;2302;1901;1490;1185;1040
Campo dos Afonsos;136;136;REALENGO;33;XXXIII Realengo;Bangu;5.1;Área de Planejamento 5;5;178;221;152;128;100;78;523;479;160;51;36
Jardim Sulacap;137;137;REALENGO;33;XXXIII Realengo;Bangu;5.1;Área de Planejamento 5;5;696;779;716;728;843;931;2292;2277;2070;1695;1362
Magalhães Bastos;138;138;REALENGO;33;XXXIII Realengo;Bangu;5.1;Área de Planejamento 5;5;968;1113;1239;1309;1521;1544;2896;2919;2862;2601;1965
Realengo;139;139;REALENGO;33;XXXIII Realengo;Bangu;5.1;Área de Planejamento 5;5;8532;10096;10187;10776;11979;12137;23419;23843;21765;18498;14576
Padre Miguel;140;140;BANGU;17;XVII Bangu;Bangu;5.1;Área de Planejamento 5;5;3101;4584;3545;3570;4146;3670;9256;9427;7821;7095;5032
Bangu;141;141;BANGU;17;XVII Bangu;Bangu;5.1;Área de Planejamento 5;5;11418;13013;12419;13395;15568;14983;31027;31100;27140;22836;16420
